,description,period,short_desc,temperature
0,"Overnight: Mostly cloudy, with a low around 47. Light northwest wind. ",Overnight,Mostly Cloudy,Low: 47 °F
1,"Friday: Mostly sunny, with a high near 55. Calm wind becoming west 5 to 9 mph in the afternoon. ",Friday,Mostly Sunny,High: 55 °F
2,"Friday Night: Partly cloudy, with a low around 47. West northwest wind 3 to 8 mph. ",FridayNight,Partly Cloudy,Low: 47 °F
3,"Saturday: Partly sunny, with a high near 57. North wind 5 to 9 mph. ",Saturday,Partly Sunny,High: 57 °F
4,"Saturday Night: Partly cloudy, with a low around 48. North wind 7 to 10 mph. ",SaturdayNight,Partly Cloudy,Low: 48 °F
5,"Sunday: Mostly sunny, with a high near 59.",Sunday,Mostly Sunny,High: 59 °F
6,"Sunday Night: Partly cloudy, with a low around 49.",SundayNight,Partly Cloudy,Low: 49 °F
7,"Monday: Partly sunny, with a high near 60.",Monday,Partly Sunny,High: 60 °F
8,"Monday Night: Mostly cloudy, with a low around 51.",MondayNight,Mostly Cloudy,Low: 51 °F
